,Zip Code,Year,Median Income (dollars)
190,75054,2011,101089.0
191,75054,2012,102663.625
192,75054,2013,104539.83333333333
193,75054,2014,104525.5
194,75054,2015,108295.91666666667
195,75054,2016,112985.70833333333
196,75056,2011,85048.0
197,75056,2012,83121.83333333333
198,75056,2013,80278.125
199,75056,2014,79156.20833333333
200,75056,2015,79751.45833333333
201,75056,2016,80657.75
202,75057,2011,49092.0
203,75057,2012,48419.25
204,75057,2013,49197.666666666664
205,75057,2014,50980.416666666664
206,75057,2015,50485.625
207,75057,2016,49673.083333333336
208,75058,2011,85139.0
209,75058,2012,83596.875
210,75058,2013,80644.25
211,75058,2014,74991.95833333333
212,75058,2015,71313.70833333333
213,75058,2016,67901.95833333333
214,75060,2011,46416.0
215,75060,2012,45862.416666666664
216,75060,2013,45600.375
217,75060,2014,45547.5
218,75060,2015,46009.333333333336
219,75060,2016,48259.5
220,75061,2011,37930.0
221,75061,2012,38068.666666666664
222,75061,2013,39214.08333333333
223,75061,2014,39979.45833333333
224,75061,2015,40374.166666666664
225,75061,2016,41294.33333333333
226,75062,2011,44367.0
227,75062,2012,44538.166666666664
228,75062,2013,45327.041666666664
229,75062,2014,45312.458333333336
230,75062,2015,45704.041666666664
231,75062,2016,47466.25
232,75063,2011,65857.0
233,75063,2012,66810.875
234,75063,2013,68428.33333333333
235,75063,2014,72792.45833333333
236,75063,2015,77395.125
237,75063,2016,81495.41666666667
238,75065,2011,74489.0
239,75065,2012,74666.125
240,75065,2013,73475.91666666667
241,75065,2014,72400.5
242,75065,2015,72877.91666666667
243,75065,2016,74165.70833333333
244,75067,2011,53331.0
245,75067,2012,53995.083333333336
246,75067,2013,55639.25
247,75067,2014,56532.791666666664
248,75067,2015,56308.166666666664
249,75067,2016,56779.125
250,75068,2011,79656.0
251,75068,2012,80331.45833333333
252,75068,2013,83363.79166666667
253,75068,2014,86064.04166666667
254,75068,2015,87104.29166666667
255,75068,2016,88168.16666666667
256,75069,2011,44348.0
257,75069,2012,45088.458333333336
258,75069,2013,45819.0
259,75069,2014,46978.958333333336
260,75069,2015,48478.583333333336
261,75069,2016,49854.791666666664
262,75070,2011,101069.0
263,75070,2012,101186.54166666667
264,75070,2013,99789.91666666667
265,75070,2014,99782.83333333333
266,75070,2015,98215.5
267,75070,2016,96168.91666666667
268,75071,2011,75023.0
269,75071,2012,75791.08333333333
270,75071,2013,78526.41666666667
271,75071,2014,80765.5
272,75071,2015,83506.45833333333
273,75071,2016,87119.125
274,75074,2011,59920.0
275,75074,2012,58210.5
276,75074,2013,55547.416666666664
277,75074,2014,54861.416666666664
278,75074,2015,55547.958333333336
279,75074,2016,57902.333333333336
280,75075,2011,77797.0
281,75075,2012,76845.29166666667
282,75075,2013,74313.16666666667
283,75075,2014,72702.5
284,75075,2015,73930.70833333333
285,75075,2016,72932.54166666667
286,75076,2011,46909.0
287,75076,2012,49091.375
288,75076,2013,51807.375
289,75076,2014,53125.833333333336
290,75076,2015,53670.458333333336
291,75076,2016,53457.25
292,75077,2011,96332.0
293,75077,2012,96694.375
294,75077,2013,98424.5
295,75077,2014,100423.08333333333
296,75077,2015,100662.20833333333
297,75077,2016,100883.16666666667
298,75078,2011,114852.0
299,75078,2012,115452.16666666667
300,75078,2013,117893.20833333333
301,75078,2014,116678.75
302,75078,2015,116819.875
303,75078,2016,122024.16666666667
304,75080,2011,60575.0
305,75080,2012,60380.541666666664
306,75080,2013,60337.333333333336
307,75080,2014,61355.416666666664
308,75080,2015,63699.75
309,75080,2016,66023.04166666667
310,75081,2011,63598.0
311,75081,2012,63496.708333333336
312,75081,2013,63442.958333333336
313,75081,2014,64358.875
314,75081,2015,65558.95833333333
315,75081,2016,66877.79166666667
316,75082,2011,111002.0
317,75082,2012,109327.16666666667
318,75082,2013,109977.0
319,75082,2014,113654.33333333333
320,75082,2015,115160.33333333333
321,75082,2016,116546.83333333333
322,75087,2011,78798.0
323,75087,2012,80122.375
324,75087,2013,83870.625
325,75087,2014,87710.33333333333
326,75087,2015,90741.45833333333
327,75087,2016,93184.125
328,75088,2011,74044.0
329,75088,2012,76883.95833333333
330,75088,2013,80445.08333333333
331,75088,2014,81734.83333333333
332,75088,2015,82431.41666666667
333,75088,2016,83720.375
334,75089,2011,87259.0
335,75089,2012,87257.91666666667
336,75089,2013,86648.70833333333
337,75089,2014,86123.70833333333
338,75089,2015,86032.125
339,75089,2016,87140.125
340,75090,2011,39332.0
341,75090,2012,38263.291666666664
342,75090,2013,37823.20833333333
343,75090,2014,38553.45833333333
344,75090,2015,38179.25
345,75090,2016,37414.625
346,75092,2011,50972.0
347,75092,2012,51371.75
348,75092,2013,51201.375
349,75092,2014,52689.041666666664
350,75092,2015,54918.666666666664
351,75092,2016,55415.208333333336
352,75093,2011,98679.0
353,75093,2012,99265.08333333333
354,75093,2013,99470.66666666667
355,75093,2014,99307.875
356,75093,2015,100184.0
357,75093,2016,101655.20833333333
358,75094,2011,113306.0
359,75094,2012,113574.125
360,75094,2013,115178.45833333333
361,75094,2014,119165.0
362,75094,2015,118395.16666666667
363,75094,2016,116450.375
364,75098,2011,76922.0
365,75098,2012,78335.20833333333
366,75098,2013,80550.41666666667
367,75098,2014,82808.33333333333
368,75098,2015,83422.41666666667
369,75098,2016,82800.54166666667
370,75101,2011,33750.0
371,75101,2012,33298.791666666664
372,75101,2013,33199.208333333336
373,75101,2014,33305.833333333336
374,75101,2015,32818.083333333336
375,75101,2016,33757.208333333336
376,75102,2011,55417.0
377,75102,2012,53963.708333333336
378,75102,2013,46082.875
379,75102,2014,39601.875
380,75102,2015,38406.041666666664
381,75102,2016,38766.041666666664
382,75103,2011,47552.0
383,75103,2012,47307.166666666664
384,75103,2013,48825.75
385,75103,2014,47361.541666666664
386,75103,2015,44516.5
387,75103,2016,45069.125
388,75104,2011,64834.0
389,75104,2012,66079.83333333333
390,75104,2013,67435.70833333333
391,75104,2014,67971.58333333333
392,75104,2015,68104.45833333333
393,75104,2016,68253.79166666667
394,75105,2011,41250.0
395,75105,2012,40877.875
396,75105,2013,34570.541666666664
397,75105,2014,24041.625
398,75109,2011,54202.0
399,75109,2012,53957.166666666664
400,75109,2013,56223.791666666664
401,75109,2014,59905.708333333336
402,75109,2015,62333.333333333336
403,75109,2016,63703.916666666664
404,75110,2011,37529.0
405,75110,2012,38855.0
406,75110,2013,40116.75
407,75110,2014,40259.916666666664
408,75110,2015,40310.791666666664
409,75110,2016,41066.70833333333
410,75114,2011,76577.0
411,75114,2012,75538.08333333333
412,75114,2013,71207.5
413,75114,2014,64701.166666666664
414,75114,2015,59941.791666666664
415,75114,2016,57802.208333333336
416,75115,2011,61497.0
417,75115,2012,60412.041666666664
418,75115,2013,60704.625
419,75115,2014,59721.041666666664
420,75115,2015,59517.0
421,75115,2016,60790.125
422,75116,2011,50201.0
423,75116,2012,50957.708333333336
424,75116,2013,52739.833333333336
425,75116,2014,52154.125
426,75116,2015,49616.291666666664
427,75116,2016,47016.208333333336
428,75117,2011,41923.0
